< file: D:\Dargon\output_dump\DATA\Spells\EzrealMysticShot.inibin >
< format-ver: 2 >
< types-mask: 0x1037 >
< sizes: (symtab=541, total=1158) >

| KEY        | VALUE                                    | TYPE                
| 0x8e7f2751 Unknown              | 0                                        | FMT_OFFSET          
| 0x94b109d0 Effect2AmountLV3     | False                                    | FMT_BITFIELD        
| 0x95cb76f7 Unknown              | False                                    | FMT_BITFIELD        
| 0x95cb76f8 Unknown              | False                                    | FMT_BITFIELD        
| 0x95cb76f9 Unknown              | False                                    | FMT_BITFIELD        
| 0x95cb76fa Unknown              | False                                    | FMT_BITFIELD        
| 0x95cb76fb Unknown              | False                                    | FMT_BITFIELD        
| 0x96da0628 Unknown              | 1150.0000                                | FMT_OFFSET          
| 0x9a34c4ef Target               | friend                                   | FMT_OFFSET          
| 0x9cb7f6ce CooldownLV1          | 6.0000                                   | FMT_OFFSET          
| 0x9cb7f6cf CooldownLV2          | 5.5                                      | FMT_U8_PT           
| 0x9cb7f6d0 CooldownLV3          | 5.0000                                   | FMT_OFFSET          
| 0x9cb7f6d1 CooldownLV4          | 4.5                                      | FMT_U8_PT           
| 0x9cb7f6d2 CooldownLV5          | 4.0000                                   | FMT_OFFSET          
| 0x9d0dacfc Description          | game_spell_tooltip_EzrealMysticShot      | FMT_OFFSET          
| 0x9d2e66f1 Unknown              | 6                                        | FMT_U8              
| 0x9e53db50 Effect1AmountLV4     | 95.0000                                  | FMT_OFFSET          
| 0x9f221e9f Unknown              |                                          | FMT_OFFSET          
| 0xa09c5a07 Unknown              | 0                                        | FMT_OFFSET          
| 0xa3a954ef Unknown              | 100.0000                                 | FMT_OFFSET          
| 0xaee0e6da Unknown              | 80.0000                                  | FMT_OFFSET          
| 0xb0c69808 Unknown              | -0.5                                     | FMT_FLOAT           
| 0xb129a739 Unknown              | Level 4                                  | FMT_OFFSET          
| 0xb4e349cf Unknown              | False                                    | FMT_BITFIELD        
| 0xb4fc974f Unknown              | 347136                                   | FMT_U32             
| 0xb95c8c5a Unknown              | True                                     | FMT_BITFIELD        
| 0xbb71873f Unknown              | -0.5                                     | FMT_FLOAT           
| 0xbe861b4f Effect2AmountLV2     | False                                    | FMT_BITFIELD        
| 0xc465dd76 Unknown              | 1.9800000190734863                       | FMT_FLOAT           
| 0xc4b95440 Unknown              | False                                    | FMT_BITFIELD        
| 0xc68fa340 Unknown              | game_spell_levelup_EzrealMysticShot      | FMT_OFFSET          
| 0xc828eccf Effect1AmountLV3     | 75.0000                                  | FMT_OFFSET          
| 0xca91ecd2 Unknown              | 0                                        | FMT_OFFSET          
| 0xcc8dee24 FlavorText           | game_spell_description_EzrealMysticShot  | FMT_OFFSET          
| 0xd08392f7 Unknown              | 0                                        | FMT_OFFSET          
| 0xd4aba7db Unknown              |                                          | FMT_OFFSET          
| 0xdb41b812 Unknown              | 0                                        | FMT_OFFSET          
| 0xdbfb668d Unknown              | 0                                        | FMT_OFFSET          
| 0xdeb85b4e Unknown              | False                                    | FMT_BITFIELD        
| 0xe0cff2a5 ManaLV1              | 28.0000                                  | FMT_OFFSET          
| 0xe0cff2a6 ManaLV2              | 31.0000                                  | FMT_OFFSET          
| 0xe0cff2a7 ManaLV3              | 34.0000                                  | FMT_OFFSET          
| 0xe0cff2a8 ManaLV4              | 37.0000                                  | FMT_OFFSET          
| 0xe0cff2a9 ManaLV5              | 40.0000                                  | FMT_OFFSET          
| 0xe2e73ce6 Range                | 10000.0000                               | FMT_OFFSET          
| 0xe3cf25d5 Unknown              | False                                    | FMT_BITFIELD        
| 0xe5648a36 Unknown              | Level 1                                  | FMT_OFFSET          
| 0xe85b2cce Effect2AmountLV1     | False                                    | FMT_BITFIELD        
| 0xed06b7e0 Unknown              | True                                     | FMT_BITFIELD        
| 0xefbaaa01 Unknown              |                                          | FMT_OFFSET          
| 0xf1244d92 Unknown              | 450.0000                                 | FMT_OFFSET          
| 0xf1e4103f Unknown              | 1.0000                                   | FMT_OFFSET          
| 0xf1fdfe4e Effect1AmountLV2     | 55.0000                                  | FMT_OFFSET          
| 0xf516063a Unknown              | Level 5                                  | FMT_OFFSET          
| 0xf85da951 Unknown              | 0                                        | FMT_OFFSET          
| 0xff12449e Unknown              | 0                                        | FMT_OFFSET          
