< file: D:\Dargon\output_dump\DATA\Spells\IreliaGatotsu.inibin >
< format-ver: 2 >
< types-mask: 0x1033 >
< sizes: (symtab=511, total=1096) >

| KEY        | VALUE                                    | TYPE                
| 0x95cb76f9 Unknown              | False                                    | FMT_BITFIELD        
| 0x95cb76fa Unknown              | False                                    | FMT_BITFIELD        
| 0x95cb76fb Unknown              | False                                    | FMT_BITFIELD        
| 0x96da0628 Unknown              | False                                    | FMT_BITFIELD        
| 0x9a34c4ef Target               | foe                                      | FMT_OFFSET          
| 0x9cb7f6ce CooldownLV1          | 14.0000                                  | FMT_OFFSET          
| 0x9cb7f6cf CooldownLV2          | 12.0000                                  | FMT_OFFSET          
| 0x9cb7f6d0 CooldownLV3          | 10.0000                                  | FMT_OFFSET          
| 0x9cb7f6d1 CooldownLV4          | 8.0000                                   | FMT_OFFSET          
| 0x9cb7f6d2 CooldownLV5          | 6.0000                                   | FMT_OFFSET          
| 0x9d0dacfc Description          | game_spell_tooltip_IreliaGatotsu         | FMT_OFFSET          
| 0x9d2e66f1 Unknown              | True                                     | FMT_BITFIELD        
| 0x9e53db50 Effect1AmountLV4     | 110.0000                                 | FMT_OFFSET          
| 0x9f221e9f Unknown              |                                          | FMT_OFFSET          
| 0xa09c5a07 Unknown              | 6                                        | FMT_U8              
| 0xa3a954ef Unknown              | 100.0000                                 | FMT_OFFSET          
| 0xaee0e6da Unknown              | False                                    | FMT_BITFIELD        
| 0xb0c69808 Unknown              | False                                    | FMT_BITFIELD        
| 0xb129a739 Unknown              | Level 4                                  | FMT_OFFSET          
| 0xb4fc974f Unknown              | 115716                                   | FMT_U32             
| 0xb8429e6d Unknown              | IreliaGatotsu                            | FMT_OFFSET          
| 0xb877a631 Unknown              | False                                    | FMT_BITFIELD        
| 0xb95c8c5a Unknown              | True                                     | FMT_BITFIELD        
| 0xbb71873f Unknown              | False                                    | FMT_BITFIELD        
| 0xc465dd76 Unknown              | 7.934999942779541                        | FMT_FLOAT           
| 0xc4b95440 Unknown              | False                                    | FMT_BITFIELD        
| 0xc68fa340 Unknown              | game_spell_levelup_IreliaGatotsu         | FMT_OFFSET          
| 0xc828eccf Effect1AmountLV3     | 80.0000                                  | FMT_OFFSET          
| 0xca91ecd2 Unknown              | 0                                        | FMT_OFFSET          
| 0xcc8dee24 FlavorText           | game_spell_description_IreliaGatotsu     | FMT_OFFSET          
| 0xd08392f7 Unknown              | 0                                        | FMT_OFFSET          
| 0xd4aba7db Unknown              |                                          | FMT_OFFSET          
| 0xdb41b812 Unknown              | 0                                        | FMT_OFFSET          
| 0xdbfb668d Unknown              | 0                                        | FMT_OFFSET          
| 0xe0cff2a5 ManaLV1              | 60.0000                                  | FMT_OFFSET          
| 0xe0cff2a6 ManaLV2              | 65.0000                                  | FMT_OFFSET          
| 0xe0cff2a7 ManaLV3              | 70.0000                                  | FMT_OFFSET          
| 0xe0cff2a8 ManaLV4              | 75.0000                                  | FMT_OFFSET          
| 0xe0cff2a9 ManaLV5              | 80.0000                                  | FMT_OFFSET          
| 0xe2e73ce6 Range                | 650.0000                                 | FMT_OFFSET          
| 0xe3cf25d5 Unknown              | False                                    | FMT_BITFIELD        
| 0xe5648a36 Unknown              | Level 1                                  | FMT_OFFSET          
| 0xefbaaa01 Unknown              |                                          | FMT_OFFSET          
| 0xf1244d92 Unknown              | 600.0000                                 | FMT_OFFSET          
| 0xf1e4103f Unknown              | 1.0000                                   | FMT_OFFSET          
| 0xf1fdfe4e Effect1AmountLV2     | 50.0000                                  | FMT_OFFSET          
| 0xf516063a Unknown              | Level 5                                  | FMT_OFFSET          
| 0xf85da951 Unknown              | 0                                        | FMT_OFFSET          
| 0xff12449e Unknown              | 0                                        | FMT_OFFSET          
